language_id,best_speaker_id,best_mse_cielab,median_mse_cielab,n_speakers
1,12,0.14863657245877665,0.185463964869397,25
2,14,0.13044235751604202,0.16456083799067345,24
3,15,0.10008133376582388,0.1507973792416711,25
4,3,0.11998911674568973,0.1580962427261252,35
5,3,0.13895521915955075,0.1536706074183764,6
6,6,0.13465223303128346,0.15565640938664285,27
7,19,0.09977073286662752,0.12302485670149513,25
8,25,0.13508793407519,0.17084918901726506,25
9,25,0.12969843661880406,0.17886987262658482,30
10,11,0.14447137759955184,0.19357732835090266,25
11,2,0.12371238903374676,0.1633643182682074,25
12,17,0.12069157236393284,0.16570646647760184,25
13,6,0.11875927827245178,0.16164828192074404,25
14,1,0.1465586556178871,0.20268703545666109,25
15,15,0.1253312157931277,0.17363884478659336,25
16,23,0.1269620672563318,0.18045412813456954,25
17,2,0.0900822649919816,0.11673394445569772,30
18,8,0.15665041261393337,0.21130987126524256,25
19,6,0.11659508914053794,0.15549195211606917,25
20,1,0.10096816532663985,0.17912506633638658,11
21,2,0.14290624551473063,0.1917852809958488,25
22,10,0.1291452431337014,0.16775699293434213,25
23,13,0.17215010121446087,0.20506983639380644,25
24,18,0.10695338994189418,0.14209956506253538,25
25,24,0.1666379426860501,0.1913143283841434,25
26,2,0.14156670490140527,0.16246527264875346,25
27,10,0.09670967299351213,0.13856910565698577,25
28,11,0.11191229311709497,0.16978333352194008,25
29,15,0.11934726242740745,0.15071644727185685,25
30,9,0.11374523633693227,0.14959207649018166,25
31,2,0.23412472848380336,0.30271777979644626,25
32,22,0.16212730163501615,0.1900149629057035,25
33,1,0.13628450379907553,0.1652204061016791,25
34,25,0.13365623103537605,0.15786722253838203,25
35,20,0.12164213479024454,0.14612204617165542,25
36,2,0.16317165870494185,0.20309745216048805,25
37,19,0.1373605156861018,0.1714223229100745,25
38,11,0.1694467731645529,0.2556947147466322,28
39,14,0.11138107529357504,0.1487711500632285,25
40,8,0.11896595292485616,0.17654695543244656,27
41,6,0.12280191324663495,0.17977622986327738,25
42,5,0.10657050810090184,0.16847704789726284,25
43,22,0.11757565975134757,0.16960501385346366,25
44,3,0.11266810080072363,0.17292186332516946,25
45,5,0.1334095820261383,0.15360756909557172,25
46,24,0.11967613370494015,0.15044752043920195,25
47,16,0.13264539265068828,0.16368017834132376,25
48,6,0.1177726468473329,0.17235731199961188,25
49,16,0.13815587050931982,0.22104768711956577,25
50,2,0.1456535868292413,0.17175153688241124,10
51,13,0.11632254488566567,0.15551466809857947,25
52,16,0.12340689776349767,0.14026616331761832,25
53,19,0.21680423847453742,0.22230765308484204,19
54,23,0.13038926538583887,0.16212741829260424,25
55,22,0.13916077179095415,0.17409127942571376,25
56,20,0.12986451383070188,0.17023731974509096,25
57,13,0.1179709358232494,0.16220486641365223,25
58,14,0.16746594769609194,0.2004324143592459,20
59,7,0.11774958253405077,0.16255447640486245,25
60,6,0.13225768811678237,0.18873852169413607,25
61,12,0.142904460981721,0.2007781252231538,15
62,6,0.13940417781311873,0.17869739505609722,24
63,2,0.1574824083450818,0.19785142788372495,25
64,24,0.11375662769065822,0.15501837957300826,25
65,9,0.1483439771334459,0.1825888342704331,25
66,3,0.17178519772928183,0.19739017275465007,25
67,1,0.11091089133996958,0.15351747578038744,25
68,7,0.11681530201902854,0.17255561146888845,25
69,7,0.13128363428811587,0.1746003044441971,25
70,22,0.13314436965584925,0.2184363122482152,25
71,17,0.13362670457368758,0.19481570157938682,25
72,11,0.1240410510870412,0.14982646491493243,25
73,2,0.18777808968829854,0.21392199470216947,18
74,17,0.1583749986610879,0.18666315278914744,25
75,6,0.11722582352733839,0.16166191765205346,25
76,17,0.11222757369388474,0.16811728504770315,25
77,5,0.20623030412954085,0.22409883818710216,29
78,4,0.12617928114309662,0.1442583619448729,6
79,12,0.1303646988978427,0.15412973889915974,25
80,14,0.16612232882804312,0.19091988433976695,25
81,16,0.13619528125322278,0.1670565244745288,24
82,5,0.14343041521835798,0.18729455286038116,20
83,1,0.1287629684056005,0.1754068097150164,14
84,11,0.10602892307761765,0.14893473512329297,25
85,24,0.1566484347351975,0.1849103732781228,25
86,14,0.13968983614025335,0.17735830261657665,25
87,1,0.13416674495853512,0.1677020037657447,25
88,5,0.15820793047769008,0.1912168587133855,24
89,2,0.12437440222069833,0.15080971347355404,26
90,5,0.12458777985828422,0.15938423968533214,25
91,3,0.13289364755994595,0.1621836624014059,8
92,3,0.1615187534061307,0.17500869215826348,9
93,5,0.16185173113205917,0.1718465101009514,6
94,2,0.11114934300647596,0.1486724463657472,25
95,18,0.12015849760151916,0.1466142884187385,26
96,13,0.12936582737572883,0.1788297918400906,25
97,24,0.14478337218752033,0.2161553062863404,25
98,17,0.1349409428843941,0.15854872119239186,25
99,2,0.16357305085103568,0.19483076472789188,25
100,15,0.13785991181454982,0.1830066863471453,25
101,19,0.14165613433841112,0.18910655844792715,25
102,25,0.15343683334554378,0.1890049679518407,25
103,12,0.1240931528582376,0.1681773814519402,23
104,25,0.17714817109748077,0.19921624533060547,25
105,1,0.19046386874974203,0.2466486686394967,27
106,24,0.09159889094001697,0.13258131715972804,25
107,2,0.13019885619788468,0.17358337052503384,25
108,19,0.14608027162810805,0.16940014862508487,25
109,13,0.1327552308688931,0.16668560792402934,25
110,20,0.10871303335393065,0.13862235169070908,25
